,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agriculture_dataset
1958,0.84684826,0.840619302,1.313281989,1.121607309,1.207422963,0.457069721,0.591335544,0.315186252,0.174289598,0.362938452,0.371955078,0.485423099,0.982127958,0.232772512,1.253762513,0.61976443,0.367987017,0.252571865,0.048672721,0.530277163,0.551162696,2.176793452,2.965910015,2.669005886,0.5388125,0.676293574,0.225070227,0.518455625,0.411025506,0.418505045
1959,0.850053063,0.871198417,1.301564764,1.131773682,1.20310392,0.461834045,0.472734315,0.342109739,0.159291177,0.435320353,0.377085756,0.512749048,1.008353283,0.284578914,1.271816139,0.632115072,0.417109098,0.308733526,0.063813526,0.612153844,0.585910252,2.124607454,2.969395924,2.650625151,0.537754808,0.712664687,0.233017012,0.534950677,0.422036507,0.418540321
1960,0.857352976,0.88186531,1.295647798,1.156138065,1.205453419,0.484962308,0.563868513,0.366420771,0.170477744,0.455176151,0.398632259,0.507447565,0.988210683,0.304596513,1.288548876,0.633326898,0.362297693,0.315133437,0.057842029,0.59608867,0.577069,2.124989778,2.727377679,2.502949706,0.547841346,0.708758382,0.231855103,0.534957889,0.435612674,0.440809517
1961,0.842677377,0.899584131,1.293622217,1.178636667,1.201408509,0.452251594,0.51692397,0.378675382,0.196285591,0.462307306,0.39341308,0.535744488,0.970068838,0.2840711,1.318549552,0.607164768,0.364223047,0.31641511,0.065899078,0.580938802,0.562619323,2.115288129,2.63332158,2.441608075,0.5640625,0.746065518,0.251664834,0.562053255,0.440897579,0.454501332
1962,0.83075603,0.924959142,1.292728439,1.203151992,1.198884671,0.466229073,0.478887957,0.385516207,0.198003186,0.492587138,0.40067441,0.543931233,0.991073815,0.289513682,1.336013259,0.629040208,0.467614798,0.332152534,0.073576736,0.588419855,0.588907149,2.111733774,2.649437092,2.45011327,0.570129808,0.744130995,0.249976927,0.560088576,0.444893027,0.448899991
1963,0.830932501,0.952225197,1.290876809,1.231264513,1.201271546,0.491423779,0.50140663,0.370607439,0.206732932,0.515686464,0.416059048,0.546120666,0.999240794,0.314933024,1.352560407,0.654285378,0.538176808,0.348094864,0.076569668,0.587448132,0.61031304,2.10820761,2.48556889,2.347875282,0.568,0.782988409,0.255446189,0.574906043,0.460427405,0.46077723
1964,0.840386626,0.967284616,1.286675662,1.257097969,1.205946668,0.450600323,0.555662418,0.374576231,0.20766255,0.510777451,0.403118759,0.527217406,0.983670652,0.301016654,1.381349032,0.641266657,0.599999835,0.371103147,0.076211915,0.573708462,0.607118318,1.901225704,2.385287908,2.206058993,0.579221154,0.821166692,0.264840683,0.594370988,0.45780002,0.465399693
1965,0.853855359,0.937011336,1.27905227,1.280852983,1.208972497,0.509114026,0.570974359,0.393835551,0.244699893,0.482529733,0.429339045,0.531853647,0.97112264,0.294513161,1.402032551,0.628316833,0.53420432,0.369055008,0.082712012,0.581766686,0.597546511,1.789884561,2.366845215,2.15180848,0.568298077,0.792930585,0.27318892,0.581488586,0.469894072,0.483866869
1966,0.876190268,0.977609317,1.268099045,1.30618326,1.21429371,0.507942845,0.574618659,0.407955033,0.25107259,0.409708183,0.421094,0.5649546,0.992032374,0.281028966,1.422501336,0.678324036,0.740122549,0.376590736,0.088601198,0.587227381,0.646071549,1.612283927,2.230360173,1.999189969,0.550192308,0.823292553,0.289071693,0.594335735,0.468496315,0.472259099
1967,0.906757433,0.985395341,1.254034055,1.334083461,1.220974155,0.555383761,0.648209534,0.40432163,0.258701517,0.372896828,0.440100911,0.592543585,0.985036509,0.288011808,1.416925921,0.683551436,0.692706604,0.371098093,0.128563429,0.597858484,0.653522686,1.497819352,2.107102545,1.879006662,0.545995192,0.848406442,0.30239888,0.60530347,0.484069695,0.491423101
1968,0.943483336,1.006991056,1.237169896,1.370853715,1.231885981,0.539550228,0.687137256,0.396385374,0.295709122,0.413795547,0.454149164,0.629065194,0.981136424,0.274745108,1.420169979,0.691783119,0.577282796,0.381276918,0.128448188,0.595622261,0.646117781,1.449588571,2.125131018,1.871789989,0.541168269,0.858064096,0.293697171,0.603894253,0.491394707,0.500842386
1969,0.959053563,1.025359899,1.218019553,1.39657323,1.230770056,0.5586855,0.633963983,0.471106844,0.299135953,0.465837731,0.471023731,0.60323683,0.984410426,0.254376923,1.441037457,0.727656034,0.56249725,0.381080426,0.131096159,0.56926037,0.656994984,1.462272278,2.065026146,1.839294101,0.537466346,0.864714631,0.301469667,0.606595905,0.501145281,0.509081647
1970,0.966592078,1.036855793,1.197458004,1.422586978,1.224789587,0.518804086,0.593353441,0.443113373,0.303628628,0.438090725,0.446494202,0.59118513,0.985055545,0.243656136,1.443406474,0.747360534,0.691093118,0.361681191,0.134900759,0.551456499,0.674503038,1.473463661,1.930012621,1.759648765,0.543264423,0.903831378,0.313983801,0.627554113,0.494294255,0.501793282
1971,0.975984133,1.018502126,1.177335547,1.451875878,1.217478052,0.631703248,0.697066507,0.464087807,0.3343331,0.42762582,0.499927524,0.602654999,0.975396097,0.248240881,1.414387706,0.729935717,0.682021995,0.371497702,0.149489144,0.557243479,0.668198806,1.456993338,1.895147001,1.731711787,0.551990385,0.912893722,0.31790083,0.634219746,0.527817431,0.541131374
1972,0.979250247,1.077732824,1.159744258,1.477066943,1.210806056,0.615982437,0.666303167,0.419579223,0.34145643,0.488676781,0.502385544,0.611724446,0.982865264,0.2451213,1.400225661,0.752929106,0.668024225,0.379261742,0.179982719,0.556974161,0.683677199,1.451086469,1.886373401,1.724012478,0.560033654,0.903104505,0.326268908,0.636908741,0.530060069,0.539300847
1973,0.996884642,1.096852109,1.146774683,1.491630079,1.20749267,0.636004833,0.734282137,0.505705138,0.40710176,0.487478451,0.534122582,0.607390192,1.003959352,0.291369337,1.416792834,0.759684059,0.993393691,0.411102164,0.177895585,0.596228369,0.722108917,1.472525371,1.849077593,1.708919827,0.539139423,0.947730305,0.316463331,0.648747659,0.554641528,0.552454167
1974,1.051736577,1.141309843,1.140446524,1.523138263,1.216728548,0.54445327,0.779728772,0.518158016,0.328108976,0.467688111,0.484904853,0.604665595,0.994327508,0.302667343,1.352202149,0.755064976,0.801104945,0.511244057,0.157149605,0.602991357,0.703468769,1.567239133,1.783800081,1.704178244,0.5403125,0.951264499,0.319010635,0.652345929,0.525065036,0.528060455
1975,1.094743045,1.103065996,1.141658098,1.563696343,1.232727859,0.631072272,0.924321883,0.555218235,0.400706165,0.498588458,0.554838378,0.643148349,0.981437318,0.447187175,1.593760102,0.714981148,0.722506747,0.492112755,0.156244305,0.624714726,0.683603517,1.591743807,1.718822092,1.673020663,0.540081731,0.894678367,0.311208427,0.629512402,0.568823311,0.579581906
1976,1.122365373,1.173773514,1.147237169,1.577964329,1.24553919,0.63730043,0.919350174,0.537344138,0.342426011,0.530104593,0.550965476,0.662139861,1.01619933,0.402705513,1.795158819,0.748558867,0.842182593,0.451094977,0.185322893,0.654346325,0.730856794,1.609562678,1.669141866,1.64885248,0.5635625,0.915497597,0.332797337,0.650317097,0.571456088,0.562346452
1977,1.159091956,1.145740532,1.153122938,1.602920514,1.260881607,0.678639622,0.862059086,0.56883076,0.464627792,0.559067872,0.597732528,0.68032609,0.996368714,0.40788609,1.885103708,0.717883908,0.727246713,0.447803028,0.159479444,0.673659988,0.70564986,1.570110755,1.621579187,1.604298603,0.576110577,0.874273099,0.340934986,0.64488512,0.598362268,0.600543011
1978,1.189108471,1.193765742,1.155254056,1.630774607,1.274078796,0.728965833,0.80648163,0.563893353,0.490594447,0.528027941,0.613457392,0.710534684,1.067149156,0.43448752,1.97878409,0.820404477,0.739875294,0.697541314,0.193365543,0.813262071,0.806586876,1.476362797,1.635561152,1.577467481,0.571129808,0.847059747,0.356091143,0.636889924,0.605998972,0.567867171
1979,1.231516028,1.209921604,1.150859944,1.567766353,1.278709208,0.767737247,0.940523801,0.604521366,0.596351663,0.560681338,0.672200085,0.741839423,1.102382556,0.438687213,1.811193643,0.872759353,0.786726628,0.814797409,0.243166359,0.855211491,0.852135462,1.532025823,1.643074266,1.603240509,0.581100962,0.84084608,0.3847438,0.645690263,0.642434764,0.582769348
1980,1.27482726,1.279208788,1.141633422,1.658649343,1.295232654,0.657062808,1.046512764,0.658121089,0.462052482,0.535276049,0.611816737,0.746343882,1.113094005,0.467847959,1.764694636,0.915666099,0.966827269,0.684333986,0.237037256,0.782139742,0.867974049,1.519712607,1.585006827,1.562436087,0.606091346,0.897645817,0.389740991,0.67651352,0.621427244,0.558288197
1981,1.277823513,1.202340146,1.130352248,1.634656945,1.282491493,0.780901876,1.236496975,0.644646454,0.51352744,0.633462829,0.698671655,0.754598511,1.075053725,0.434603446,1.693672701,0.876310815,0.837651426,0.526888502,0.263650387,0.733215476,0.820318907,1.512844628,1.584052507,1.55923689,0.627245192,0.905985946,0.405297776,0.693531714,0.676400241,0.629178082
1982,1.256195875,1.287339758,1.119752256,1.461506689,1.262899147,0.798013037,1.199390312,0.642389636,0.569299357,0.580557457,0.706249311,0.796125206,1.045323237,0.585829812,1.590994566,0.892726847,0.62371022,0.557743097,0.24077895,0.763928967,0.802780131,1.357570783,1.499126455,1.447455997,0.640115385,0.890217211,0.406485437,0.688077298,0.686179293,0.656427857
1983,1.200218095,1.264484538,1.111864866,1.570782591,1.246884508,0.517713469,1.016242386,0.639743372,0.427267635,0.490319447,0.540389811,0.78975971,1.041674168,0.583922361,1.545475598,0.904248352,0.642212384,0.762794367,0.217809473,0.746005823,0.806046223,1.499484247,1.382037879,1.428796159,0.65975,0.900775994,0.409178731,0.695665637,0.589635511,0.566046014
1984,1.144786862,1.119652182,1.10614326,1.637803854,1.215236784,0.767500927,1.125774568,0.635743914,0.498732217,0.618259084,0.68381083,0.811693691,1.007125137,0.50921247,1.598796128,0.810791247,0.665859554,0.902752009,0.266888743,0.727771136,0.775335805,1.396977455,1.376968607,1.386561417,0.636639423,0.886160649,0.419643251,0.685086073,0.669777307,0.665038815
1985,1.088176955,1.203907037,1.10143655,1.648237814,1.19848612,0.845484728,1.055906522,0.62678455,0.548143409,0.612721593,0.71735849,0.857448278,0.980805506,0.582117016,1.435320486,0.821331076,0.699143965,0.57126196,0.251155873,0.725025317,0.760550411,1.266017292,1.286982255,1.280784163,0.675759615,0.872325864,0.43731642,0.702190785,0.699434278,0.7131223
1986,1.014575465,1.163529148,1.096690614,1.571049301,1.152591541,0.802051901,0.926406995,0.605411704,0.502284477,0.560234852,0.673478184,0.885396669,0.983797662,0.543187351,1.332455116,0.817821115,0.873601386,0.749388144,0.498022086,0.650422341,0.783527642,1.217588471,1.351986682,1.302421971,0.676610577,0.876064581,0.454872885,0.702944848,0.672309419,0.683381802
1987,0.939887467,1.134849806,1.090946156,1.514837678,1.111125854,0.710509068,0.927913702,0.694177552,0.504622301,0.673273556,0.675603565,0.939510246,0.970064917,0.593874155,1.48570522,0.796972002,0.70035069,0.693365712,0.511860521,0.686731945,0.777766037,1.24249474,1.373888942,1.325508787,0.675240385,0.866669739,0.49614112,0.713911903,0.680513283,0.701513137
1988,0.890909975,1.094702265,1.08361844,1.520430217,1.084696234,0.529479816,0.844091462,0.74496967,0.418169809,0.710714201,0.595576963,0.896692509,0.955002761,0.697186174,1.485638153,0.783304208,0.618864575,0.729191338,0.443447491,0.699675271,0.762576827,1.282830053,1.375402578,1.341933247,0.686697115,0.847239345,0.506073497,0.716318385,0.641870637,0.672113907
1989,0.852259406,1.031200031,1.075510245,1.547716772,1.062830018,0.712052865,0.925867163,0.711902636,0.500684137,0.681011501,0.678890847,0.925138161,0.943290035,0.739197282,1.473062408,0.747975645,0.584073645,0.694210284,0.520591635,0.754532786,0.76298456,1.203247875,1.35329492,1.297697112,0.681894231,0.846705407,0.528649139,0.721164988,0.693844736,0.735558216
1990,0.826370273,1.079921826,1.067814919,1.501150345,1.048808066,0.733878613,1.194255899,0.700364169,0.503772262,0.780493271,0.725726419,0.95558839,0.957850612,0.750615543,1.467498394,0.809731569,0.749955607,0.701031291,0.53242924,0.774514662,0.81565695,1.197514407,1.219571077,1.212991419,0.700600962,0.852923419,0.564067596,0.73852092,0.727161808,0.759159935
1991,0.808182312,1.11620393,1.061917621,1.488136433,1.040526726,0.716874866,0.91122716,0.69234151,0.54428688,0.825199188,0.718621334,1.002948279,0.956447461,0.740456451,1.468309865,0.812994406,0.706299713,0.756652163,0.496887408,0.788137009,0.815405558,1.194250125,1.234895158,1.221188608,0.700591346,0.881523244,0.588577478,0.757841908,0.730012742,0.763254409
1992,0.781901295,1.114740517,1.059203038,1.454625047,1.026796328,0.832145481,1.117919812,0.723103127,0.577215894,0.835483693,0.787979067,1.045150198,0.940692588,0.692469744,1.44936628,0.80813403,0.725556951,0.656480372,0.513680955,0.75800345,0.803042261,1.130002462,1.22462467,1.1899448,0.716129808,0.901057177,0.613535561,0.776806804,0.772636025,0.821348052
1993,0.7527533,1.16462935,1.060553354,1.418046198,1.016488911,0.642382882,1.068470364,0.777396034,0.495841429,0.825012744,0.710362651,1.083421746,0.950469505,0.736774166,1.455713744,0.826483425,0.719878657,0.695963493,0.506980799,0.846564453,0.838775617,1.124593846,1.147193759,1.140621839,0.715822115,0.899605447,0.640788617,0.783869769,0.735209581,0.773522535
1994,0.72824991,1.113357793,1.064534242,1.385017553,1.003007352,0.84727188,1.077146008,0.808207451,0.665770362,0.893039093,0.8395229,1.196939153,0.991934288,0.709722547,1.495300619,0.838661439,0.730851774,0.79643009,0.591997574,0.877435889,0.869635533,1.095321213,1.45134734,1.314857852,0.7305,0.968415263,0.671541125,0.826683344,0.821309828,0.827988142
1995,0.706480513,1.201199896,1.069330725,1.351968492,0.99824263,0.694325346,1.001074453,0.752057115,0.575624995,0.856005758,0.74599209,1.133927882,1.003113307,0.79292347,1.568586643,0.873788891,0.579959049,0.870399846,0.635598689,0.915232783,0.888618906,1.134652258,1.437077238,1.321454645,0.739120192,0.976273073,0.696764405,0.842433145,0.778421076,0.776005134
1996,0.685462981,1.149890185,1.073394516,1.321029687,0.985570117,0.812014673,1.03594443,0.754447634,0.621967961,0.895256805,0.810030422,1.172497349,0.941914344,0.805817868,1.569106434,0.789522848,0.60677913,0.772602235,0.402580236,0.894462192,0.818736313,1.083604361,1.309572753,1.223547958,0.733322115,0.938765433,0.738528217,0.838860551,0.815717115,0.866020482
1997,0.674230198,1.225122743,1.075387609,1.29287509,0.983827338,0.810188359,1.122869692,0.891633415,0.693312004,0.934445522,0.850398512,1.184746349,0.982916182,0.855991758,1.606657646,0.848656972,0.749652624,0.899710908,0.494507234,0.935613752,0.891976012,1.140414932,1.257531482,1.21384675,0.743735577,0.955811983,0.754046223,0.855528265,0.848195299,0.862937567
1998,0.672108376,1.229763442,1.074327396,1.265257831,0.979907594,0.827673368,1.150296117,0.81456092,0.716201222,0.862213286,0.839338627,1.169668753,1.001583782,1.000418351,1.620943643,0.915215568,0.925370748,0.824888821,0.501992276,0.96156384,0.944200903,1.161385362,1.144298002,1.152738114,0.749725962,0.956959637,0.766978914,0.861312296,0.854012551,0.85266212
1999,0.675790871,1.21837404,1.070198561,1.240928353,0.976651368,0.825925067,1.081198627,0.832537834,0.691300597,0.896641335,0.848613508,1.276718768,1.004086225,1.09474955,1.64553207,0.966445798,0.767685256,0.84401237,0.490498369,0.9752975,0.95386698,1.208259995,1.094586873,1.14059051,0.775899038,0.958589177,0.800941347,0.882897391,0.873740898,0.870185126
2000,0.67373556,1.208743247,1.063807964,1.221024259,0.971549703,0.83799228,1.039136635,0.906955032,0.710023384,0.919460725,0.864512526,1.257979886,0.986812744,1.035187904,1.571167506,0.943631848,0.9415836,0.822207146,0.508967627,0.925977119,0.943146777,1.014867903,1.138576063,1.093185356,0.798490385,0.930574949,0.817359176,0.883839734,0.878561278,0.890301917
2001,0.67250588,1.221161557,1.056071744,1.206998282,0.967553321,0.821969259,0.957327047,0.884321708,0.754747595,0.949626385,0.861048934,1.200350841,0.967587692,1.093505585,1.533783372,0.919211726,0.859500645,0.897935872,0.344017378,0.956041137,0.911719712,1.023458096,1.129463413,1.090798938,0.789052885,0.952431353,0.828430333,0.889926166,0.883118075,0.912700815
2002,0.680828635,1.236109841,1.048066644,1.184159197,0.981531171,0.775572418,0.821252142,0.888029149,0.706938398,0.913678637,0.825583993,1.237868053,0.965690188,1.0741099,1.668173188,0.904083723,0.84791848,0.848456486,0.370125161,0.911250561,0.899518728,1.037570426,1.138576008,1.101828723,0.812230769,0.927043587,0.865090455,0.89711959,0.865135421,0.895872643
2003,0.689619425,1.196371561,1.040765026,1.165538654,0.956805528,0.850694134,1.093981767,0.896575442,0.645571352,0.936859686,0.85956756,1.213432561,0.957312509,0.98618041,1.402159442,0.920051367,1.11284811,0.778087751,0.379974155,0.903944959,0.908588626,1.014867891,1.090987147,1.063643301,0.813567308,0.927095925,0.917351745,0.913549119,0.883867203,0.923279697
2004,0.707905751,1.165909347,1.033961506,1.146030632,0.957465633,0.937800675,1.055899344,0.922836013,0.800847495,1.031455068,0.941002328,1.261170258,0.945604701,1.021849217,1.504541027,0.923414787,0.981857137,0.665861312,0.415069538,0.893740356,0.903475228,0.91976238,1.083897925,1.023033511,0.815942308,0.935015402,0.873338886,0.89873057,0.924406983,0.977582896
2005,0.738438006,1.262272564,1.027308602,1.12956885,0.967906473,0.883493067,1.026073036,0.840371364,0.805333228,1.015942119,0.905073834,1.220476035,0.955532826,0.987115664,1.392828082,0.950781671,0.804876453,0.815110958,0.429425937,0.929558099,0.910654487,0.930522127,1.101697577,1.038188,0.845365385,0.932309797,0.897992812,0.920946384,0.912331188,0.954787908
2006,0.75680479,1.25884539,1.020537413,1.110795729,0.973202328,0.829288462,0.885055958,0.916320953,0.809704015,0.872311403,0.859039237,1.207513882,0.959564829,1.090022643,1.341209839,0.956293792,0.995203433,0.827057645,0.456834197,0.976716357,0.945774655,0.852001084,1.032505752,0.965430292,0.86875,0.940269366,0.928540551,0.94025965,0.902326007,0.940349187
2007,0.756791879,1.226776113,1.013479503,1.090287713,0.964763698,0.971418744,0.986335949,0.984093608,0.691380818,0.983029881,0.922232428,1.206725848,0.995731906,1.028709396,1.539627348,0.974731137,0.847282109,0.878535274,0.571527162,1.095572102,1.001857196,0.931652814,1.017662643,0.986054865,0.887331731,0.907140642,0.941263767,0.924863632,0.927136235,0.931110301
2008,0.767270852,1.233923598,1.008457033,1.071988379,0.965051307,0.924767819,1.17918005,0.931602396,0.758348296,1.266698176,0.95370941,1.001068119,0.979809364,1.171227737,1.400398879,0.963767479,0.956237696,0.895160091,0.55122435,1.032650947,0.981607603,0.897744298,1.007768965,0.967152697,0.908225962,0.952136323,0.95917289,0.94317949,0.960991739,0.980794605
2009,0.794990651,1.226243477,1.005863774,1.060734534,0.973654004,0.971477348,1.074837976,0.955469944,0.849361313,1.206282109,0.97675037,0.996270893,0.973075422,1.188400374,1.805163922,0.95476687,0.939108435,0.849871637,0.503901333,0.973379412,0.977314179,0.873403816,0.98095679,0.941251511,0.904754808,0.946340267,0.909621754,0.929844151,0.971310308,0.998186046
2010,0.795509975,1.164958229,1.00484666,1.045952382,0.966525155,0.929323339,1.083536361,0.966740875,0.846063672,1.262477159,0.970355665,0.994067272,0.94304743,1.008056686,1.467925697,0.964068916,0.771511893,0.817089143,0.492660985,0.93776939,0.931557335,0.939030733,0.936380876,0.937403461,0.922581731,0.944734236,0.925771788,0.939345738,0.958268646,1.016140456
2011,0.803581142,1.056052185,1.004481305,1.027230552,0.962364001,0.894039532,0.963412459,1.006551307,0.788538419,1.19359009,0.931638268,0.972838812,0.946861949,1.325200008,1.380600669,0.924161522,0.785489529,0.79367493,0.738741528,0.97888357,0.939822676,0.924134675,0.947634755,0.939011113,0.938894231,0.973388774,0.945795374,0.953664713,0.961702413,1.015673314
2012,0.82946995,1.039525307,1.003994667,1.017942795,0.966534179,0.803844836,1.081392101,1.009833462,0.783497877,1.138768433,0.893960308,1.007676882,0.939592141,1.638197093,0.800007157,0.923026612,0.863421602,1.064069369,0.86692425,1.013835807,0.927141334,0.926298806,0.934689931,0.931639023,0.960033654,0.967922456,0.947119079,0.961407914,0.961077927,1.022867142
2013,0.886591235,0.938742509,1.003234097,1.007867197,0.974883689,0.997329008,1.02594739,1.054192374,0.859285532,1.20515274,1.00300065,0.98546822,0.945926925,1.664491118,0.857737559,0.913833964,1.00121525,0.996966924,0.895073468,0.959599124,0.932169559,0.960631769,0.928029981,0.940141324,0.962759615,0.983705564,0.958881191,0.965010423,1.028830129,1.087642293
2014,0.940467069,1.004754888,1.001939289,1.002008604,0.986258512,1.028658158,1.012854996,1.028735102,0.978709117,1.041128836,1.016231623,0.989618301,0.995800231,1.123897647,0.878611954,1.019295279,0.998695854,1.120109314,1.150944624,1.077384472,1.029438369,0.965281916,0.866037193,0.902975618,0.986014423,0.965410803,0.972310849,0.975345381,1.006347304,1.010591555
2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,0.999181619,1.016977557,1.010290447,0.990991438,1.005510274,1.065863039,1.128114693,0.989842504,1.082993357,1.05659276,1.049155779,0.952496884,0.990746361,0.739963958,1.073447947,1.005180674,0.772757599,0.916261449,1.04109589,0.990799889,0.978173903,1.051174784,0.99050797,1.013159945,1.014423077,1.052078567,1.019666218,1.056603493,1.030057937,1.039678749
2017,0.979480494,1.001931182,0.990253956,0.978831079,0.986758076,1.020403856,0.860429687,0.931140553,1.125213143,1.091991364,1.020213945,0.924560082,0.980307679,0.878958814,0.953895652,1.052362168,0.704400376,0.917449858,1.074262925,0.995362135,0.983740759,1.016105485,0.929956261,0.962226264,1.028846154,1.09664488,1.04436486,1.055334108,1.023857598,1.044424746
2018,0.978412861,0.990862149,0.989037931,0.976177918,0.985148049,0.997175251,0.961247768,0.942014853,1.123626293,1.051652024,1.004979219,0.847895561,0.956455911,0.771469911,0.918757975,0.979248262,0.721831993,0.886236817,1.040349143,0.99630035,0.948811464,1.031204751,0.900357983,0.949506908,1.048076923,1.079275671,1.0691433,1.053179831,1.006603574,1.05243071
2019,0.961025841,0.960285172,0.986937198,0.956080452,0.974482643,0.982866162,0.935164947,0.94477826,0.922706859,1.121261954,0.967996651,0.803997177,0.988609839,0.935517973,0.907093019,1.06091675,0.676225895,0.884913558,1.044258993,0.991751314,0.975335001,1.139750804,0.999480823,1.052144364,1.041134615,1.083060461,1.091173993,1.051103645,0.997719136,1.009214249
