,period,stateid,sectorid,price,revenue,sales,GDP
43,2022,MAT,COM,15.26,22178.92599,145313.94977,23944.58716
44,2022,MAT,ALL,15.1,54510.42685,360943.51371,23944.58716
45,2022,NEW,TRA,11.29,55.59141,492.47458,23944.58716
46,2022,NEW,RES,24.81,12011.59389,48411.36807,23944.58716
48,2022,NEW,IND,15.4,2411.98692,15663.89808,23944.58716
49,2022,NEW,COM,18.21,8999.07485,49429.89539,23944.58716
50,2022,NEW,ALL,20.6,23478.24706,113997.63613,23944.58716
52,2022,ESC,IND,7.42,7382.81799,99522.78277,23944.58716
53,2022,ESC,COM,12.41,11332.38803,91290.9617,23944.58716
54,2022,ESC,ALL,11.09,34892.06834,314632.61006,23944.58716
55,2022,SAT,TRA,9.83,99.57084,1012.77921,23944.58716
56,2022,SAT,RES,13.63,53356.42558,391437.60814,23944.58716
58,2022,SAT,IND,8.04,11976.95093,148919.55703,23944.58716
59,2022,SAT,COM,11.01,36326.90542,329956.02439,23944.58716
60,2022,SAT,ALL,11.68,101759.85277,871325.96876,23944.58716
61,2022,WNC,TRA,10.46,4.32989,41.37876,23944.58716
62,2022,WNC,RES,12.83,14409.60808,112328.29625,23944.58716
64,2022,WNC,IND,7.85,7906.19737,100686.76745,23944.58716
65,2022,WNC,COM,10.59,10839.86142,102392.42869,23944.58716
66,2022,MTN,TRA,10.62,16.43073,154.74429,23944.58716
67,2022,MTN,RES,12.85,14224.49541,110714.80551,23944.58716
69,2022,MTN,IND,7.57,6550.5893,86491.63448,23944.58716
70,2022,MTN,COM,10.36,10627.71657,102588.53217,23944.58716
71,2022,MTN,ALL,10.47,31419.23201,299949.71645,23944.58716
72,2022,WSC,TRA,7.13,13.55945,190.05096,23944.58716
73,2022,WSC,RES,13.21,32793.17669,248260.1658,23944.58716
75,2022,WSC,IND,7.25,15047.73231,207573.19733,23944.58716
76,2022,WSC,COM,9.73,20321.66271,208917.24262,23944.58716
77,2022,WSC,ALL,10.25,68176.13117,664940.65671,23944.58716
79,2022,ESC,RES,13.06,16176.86233,123818.86559,23944.58716
81,2022,CA,IND,17.37,8013.90025,46148.20458,23944.58716
82,2022,CA,COM,21.68,24866.07295,114695.86228,23944.58716
83,2022,CA,ALL,22.48,56634.49004,251943.74504,23944.58716
84,2022,AR,TRA,15.5,0.03376,0.21784,23944.58716
85,2022,AR,RES,11.86,2296.77014,19368.78605,23944.58716
87,2022,OR,IND,6.44,1027.16561,15956.69887,23944.58716
88,2022,OR,COM,9.27,1550.29336,16716.80137,23944.58716
89,2022,OR,ALL,9.23,4932.49339,53430.27705,23944.58716
91,2022,OK,RES,12.57,3197.30164,25430.3774,23944.58716
93,2022,OK,IND,6.95,1562.26233,22485.3743,23944.58716
94,2022,OK,COM,10.39,2222.64061,21389.65659,23944.58716
95,2022,OK,ALL,10.07,6982.20457,69305.40829,23944.58716
96,2022,OH,TRA,8.57,2.91698,34.03352,23944.58716
97,2022,OH,RES,14.01,7499.45761,53514.65257,23944.58716
99,2022,OH,IND,7.75,3924.58408,50630.12261,23944.58716
100,2022,OH,COM,10.54,4851.22173,46008.77502,23944.58716
101,2022,OH,ALL,10.84,16278.18039,150187.58372,23944.58716
103,2022,ND,RES,10.9,576.3153,5286.78106,23944.58716
105,2022,ND,IND,6.94,866.6714,12486.45194,23944.58716
106,2022,ND,COM,9.01,679.16177,7533.81021,23944.58716
107,2022,ND,ALL,8.39,2122.14846,25307.04321,23944.58716
109,2022,AR,IND,7.38,1345.98533,18236.3566,23944.58716
110,2022,AR,COM,10.23,1206.01628,11793.85074,23944.58716
111,2022,AR,ALL,9.82,4848.8055,49399.21123,23944.58716
112,2022,AZ,TRA,9.62,0.98157,10.20441,23944.58716
113,2022,AZ,RES,13.02,4986.97885,38314.68873,23944.58716
115,2022,AZ,IND,7.74,1096.2945,14160.97903,23944.58716
116,2022,AZ,COM,10.79,3370.64093,31247.37495,23944.58716
117,2022,AZ,ALL,11.29,9454.89585,83733.24711,23944.58716
119,2022,AK,RES,23.02,470.57604,2044.37299,23944.58716
121,2022,AK,IND,18.2,252.61506,1387.9826,23944.58716
122,2022,NC,TRA,7.6,1.10182,14.50492,23944.58716
123,2022,NC,RES,12.08,7607.70748,62986.76282,23944.58716
125,2022,NC,IND,6.89,1931.93961,28036.44101,23944.58716
126,2022,NC,COM,9.1,4498.94594,49424.85942,23944.58716
127,2022,NC,ALL,10.0,14039.69485,140462.56816,23944.58716
128,2022,NY,TRA,13.84,359.70761,2599.74596,23944.58716
129,2022,NY,RES,22.04,11547.0897,52389.27026,23944.58716
131,2022,NY,IND,7.64,1218.60103,15945.91665,23944.58716
132,2022,NY,COM,18.26,13068.39651,71574.114,23944.58716
133,2022,NY,ALL,18.38,26193.79485,142509.04686,23944.58716
135,2022,NM,RES,14.11,1032.27651,7317.55903,23944.58716
137,2022,NM,IND,6.7,745.32856,11119.93615,23944.58716
138,2022,MN,IND,9.19,1860.24389,20234.26234,23944.58716
139,2022,MN,COM,12.2,2745.76102,22499.93536,23944.58716
140,2022,MN,ALL,11.98,7960.51021,66432.76362,23944.58716
141,2022,MI,TRA,12.35,0.53367,4.31956,23944.58716
142,2022,MI,RES,17.75,6225.44864,35066.03178,23944.58716
144,2022,MI,IND,8.35,2352.70444,28171.16314,23944.58716
145,2022,MI,COM,12.47,4631.16867,37128.56618,23944.58716
146,2022,MI,ALL,13.16,13209.85543,100370.08066,23944.58716
147,2022,MA,TRA,7.09,21.20899,299.05839,23944.58716
148,2022,MA,RES,26.1,5218.75652,19995.51979,23944.58716
150,2022,MA,IND,17.83,1134.75263,6365.27575,23944.58716
151,2022,DC,ALL,14.94,1528.423,10230.94076,23944.58716
153,2022,DE,RES,13.73,718.23936,5229.85305,23944.58716
155,2022,DE,IND,9.26,189.92021,2051.01793,23944.58716
156,2022,DE,COM,11.06,476.70465,4308.86036,23944.58716
157,2022,DE,ALL,11.95,1384.86422,11589.73134,23944.58716
158,2022,CT,TRA,17.81,30.35786,170.44686,23944.58716
159,2022,CT,RES,24.65,3246.39772,13172.43997,23944.58716
161,2022,CT,IND,14.9,418.85256,2811.40201,23944.58716
162,2022,CT,COM,18.56,2138.49862,11523.55194,23944.58716
163,2022,CT,ALL,21.08,5834.10676,27677.84077,23944.58716
164,2022,CO,TRA,9.91,9.05679,91.35979,23944.58716
165,2022,CO,RES,14.29,2978.11566,20834.1503,23944.58716
167,2022,CO,IND,8.77,1356.70597,15473.82867,23944.58716
168,2022,CO,COM,11.7,2446.41572,20907.53402,23944.58716
169,2022,CO,ALL,11.85,6790.29414,57306.87278,23944.58716
170,2022,CA,TRA,13.59,93.09852,685.0254,23944.58716
171,2022,CA,RES,26.17,23661.41832,90414.65279,23944.58716
172,2022,NM,COM,11.21,1022.05428,9115.42398,23944.58716
173,2022,NM,ALL,10.16,2799.65936,27552.91916,23944.58716
174,2022,NJ,TRA,13.04,32.94624,252.66262,23944.58716
175,2022,NJ,RES,16.79,5047.53069,30065.99509,23944.58716
177,2022,NJ,IND,12.44,812.67238,6535.21326,23944.58716
178,2022,NJ,COM,13.92,5108.32394,36689.3664,23944.58716
179,2022,NJ,ALL,14.96,11001.47325,73543.23737,23944.58716
181,2022,NH,RES,25.5,1225.60864,4806.94812,23944.58716
183,2022,NH,IND,15.19,292.44474,1925.36499,23944.58716
184,2022,NH,COM,18.7,763.58846,4083.80628,23944.58716
185,2022,NH,ALL,21.09,2281.64184,10816.11939,23944.58716
186,2022,NV,TRA,9.74,0.69864,7.17653,23944.58716
187,2022,NV,RES,13.79,1973.53255,14308.05649,23944.58716
189,2022,NV,IND,8.4,1064.52728,12666.48493,23944.58716
190,2022,NV,COM,9.64,1263.459,13101.52315,23944.58716
191,2022,AK,COM,19.84,510.07988,2571.25997,23944.58716
192,2022,AK,ALL,20.54,1233.27098,6003.61556,23944.58716
194,2022,AL,RES,14.39,4802.07207,33376.50892,23944.58716
196,2022,AL,IND,7.83,2482.58724,31701.61808,23944.58716
197,2022,AL,COM,13.42,3014.34696,22456.9888,23944.58716
198,2022,AL,ALL,11.77,10299.00626,87535.1158,23944.58716
199,2022,US,TRA,11.66,769.79282,6602.10677,23944.58716
200,2022,US,RES,15.12,230174.08415,1521886.44433,23944.58716
202,2022,US,IND,8.45,85170.60618,1007533.03747,23944.58716
203,2022,US,COM,12.55,172256.5108,1373031.28954,23944.58716
204,2022,US,ALL,12.49,488370.99395,3909052.8781,23944.58716
206,2022,PACN,RES,34.49,1653.3334,4793.45748,23944.58716
208,2022,PACN,IND,31.39,1517.49168,4833.58119,23944.58716
209,2022,PACN,COM,30.65,1645.97475,5369.77691,23944.58716
210,2022,PACN,ALL,32.12,4816.79983,14996.81558,23944.58716
211,2022,PACC,TRA,13.01,106.95803,822.02244,23944.58716
212,2022,PACC,RES,19.95,30065.12038,150731.85943,23944.58716
214,2022,PACC,IND,12.38,10332.63456,83439.38926,23944.58716
215,2022,PACC,COM,18.18,29201.47199,160665.23236,23944.58716
216,2022,PACC,ALL,17.62,69706.18496,395658.50349,23944.58716
217,2022,KY,ALL,10.62,7978.32161,75118.46054,23944.58716
219,2022,KS,RES,14.13,2053.98796,14536.50934,23944.58716
221,2022,KS,IND,8.57,1008.27722,11764.62674,23944.58716
222,2022,KS,COM,11.7,1852.72631,15834.71958,23944.58716
223,2022,KS,ALL,11.66,4914.99149,42135.85565,23944.58716
225,2022,IA,RES,13.07,2016.21798,15427.56005,23944.58716
227,2022,IA,IND,7.09,1888.71164,26657.41242,23944.58716
228,2022,IA,COM,10.48,1305.27088,12456.88308,23944.58716
229,2022,IA,ALL,9.55,5210.20049,54541.85555,23944.58716
230,2022,IN,TRA,13.03,1.63104,12.51775,23944.58716
231,2022,IN,RES,14.98,5129.4938,34235.69098,23944.58716
233,2022,IN,IND,8.93,3812.86048,42684.12409,23944.58716
234,2022,IN,COM,13.07,3054.40465,23362.99269,23944.58716
235,2022,IN,ALL,11.96,11998.38996,100295.32552,23944.58716
236,2022,IL,TRA,7.49,34.07783,454.72968,23944.58716
237,2022,IL,RES,15.87,7402.3866,46653.6339,23944.58716
239,2022,IL,IND,8.92,3737.78063,41903.57652,23944.58716
240,2022,IL,COM,11.66,5502.24443,47183.56526,23944.58716
241,2022,IL,ALL,12.24,16676.48949,136195.50536,23944.58716
243,2022,WA,IND,6.05,1291.5687,21334.48582,23944.58716
244,2022,WA,COM,9.52,2785.10569,29252.56871,23944.58716
245,2022,WA,ALL,9.02,8139.20153,90284.4814,23944.58716
246,2022,VA,TRA,10.85,14.08691,129.80161,23944.58716
247,2022,VA,RES,13.52,6369.5028,47108.9689,23944.58716
249,2022,VA,IND,8.24,1525.78184,18512.85657,23944.58716
250,2022,VA,COM,9.55,6142.87368,64356.3925,23944.58716
251,2022,VA,ALL,10.8,14052.24523,130108.01958,23944.58716
253,2022,VT,RES,20.18,441.54318,2188.47777,23944.58716
255,2022,VT,IND,12.11,165.90991,1369.90513,23944.58716
256,2022,VT,COM,17.39,332.6155,1912.43943,23944.58716
257,2022,VT,ALL,17.18,940.0686,5470.82233,23944.58716
258,2022,UT,TRA,12.38,5.69374,46.00357,23944.58716
259,2022,UT,RES,10.94,1223.35954,11185.70867,23944.58716
261,2022,UT,IND,6.88,626.54966,9109.18439,23944.58716
262,2022,UT,COM,8.44,1076.49387,12754.77883,23944.58716
263,2022,UT,ALL,8.86,2932.09681,33095.67546,23944.58716
264,2022,TX,TRA,6.82,12.2586,179.6518,23944.58716
265,2022,TX,RES,13.55,23264.20037,171658.45165,23944.58716
267,2022,TX,IND,7.21,9114.73775,126357.90716,23944.58716
268,2022,TX,COM,9.26,14087.06944,152078.06696,23944.58716
270,2022,NE,IND,7.24,935.81258,12920.44853,23944.58716
271,2022,NE,COM,8.88,846.61575,9530.83374,23944.58716
272,2022,NE,ALL,8.91,2963.93141,33259.70935,23944.58716
274,2022,MT,RES,11.37,666.96188,5865.29625,23944.58716
276,2022,MT,IND,7.43,345.85592,4657.59232,23944.58716
277,2022,MT,COM,10.7,539.81104,5044.10389,23944.58716
278,2022,MT,ALL,9.97,1552.62884,15566.99246,23944.58716
279,2022,MO,TRA,8.77,1.87971,21.43792,23944.58716
280,2022,MO,RES,12.29,4583.15426,37277.34059,23944.58716
282,2022,MO,IND,8.1,1087.4697,13427.26658,23944.58716
283,2022,MO,COM,9.82,2907.14549,29617.58183,23944.58716
284,2022,TX,ALL,10.32,46478.26616,450274.07757,23944.58716
286,2022,NV,ALL,10.73,4302.21747,40083.24109,23944.58716
288,2022,NE,RES,10.93,1181.50308,10808.42708,23944.58716
289,2022,MO,ALL,10.68,8579.64916,80343.62692,23944.58716
291,2022,MS,RES,12.65,2453.02936,19384.32035,23944.58716
293,2022,MS,IND,6.99,1131.33041,16189.42784,23944.58716
294,2022,MS,COM,12.09,1702.97478,14085.98812,23944.58716
295,2022,MS,ALL,10.65,5287.33455,49659.73631,23944.58716
296,2022,MN,TRA,12.29,2.45018,19.94084,23944.58716
297,2022,MN,RES,14.16,3352.05513,23678.62507,23944.58716
299,2022,MA,COM,18.78,4523.06893,24087.27699,23944.58716
300,2022,MA,ALL,21.47,10897.78707,50747.13092,23944.58716
301,2022,MD,TRA,9.45,37.69776,399.02105,23944.58716
302,2022,MD,RES,14.51,4076.8223,28103.66421,23944.58716
304,2022,MD,IND,10.1,363.65655,3600.46198,23944.58716
305,2022,MD,COM,12.66,3483.21507,27509.87114,23944.58716
306,2022,MD,ALL,13.36,7961.39168,59613.01838,23944.58716
308,2022,ME,RES,22.52,1144.18246,5079.67196,23944.58716
310,2022,ME,IND,11.17,285.17327,2552.57003,23944.58716
311,2022,ME,COM,15.53,639.0695,4115.60737,23944.58716
312,2022,ME,ALL,17.61,2068.42524,11747.84936,23944.58716
313,2022,LA,TRA,12.45,1.26709,10.18132,23944.58716
314,2022,LA,RES,12.69,4034.90455,31802.5507,23944.58716
316,2022,LA,IND,7.47,3024.74691,40493.55927,23944.58716
317,2022,LA,COM,11.86,2805.93639,23655.66833,23944.58716
318,2022,LA,ALL,10.28,9866.85493,95961.95962,23944.58716
320,2022,KY,RES,12.85,3486.44271,27132.05101,23944.58716
322,2022,KY,IND,7.63,2198.58776,28797.59491,23944.58716
323,2022,KY,COM,11.95,2293.29114,19188.81463,23944.58716
325,2022,WY,RES,11.1,335.22281,3020.04891,23944.58716
327,2022,WY,IND,6.9,685.22532,9932.92785,23944.58716
328,2022,WY,COM,9.54,346.00435,3628.20393,23944.58716
329,2022,WY,ALL,8.24,1366.45248,16581.18069,23944.58716
330,2022,WI,TRA,16.56,0.18225,1.10079,23944.58716
331,2022,WI,RES,15.5,3565.71991,23009.14899,23944.58716
333,2022,WI,IND,8.36,1979.74718,23676.49467,23944.58716
334,2022,WI,COM,11.71,2743.4896,23423.34638,23944.58716
335,2022,WI,ALL,11.82,8289.13893,70110.09082,23944.58716
337,2022,WV,RES,13.25,1476.15534,11141.13962,23944.58716
339,2022,WV,IND,6.74,981.96905,14574.10998,23944.58716
340,2022,WV,COM,10.44,759.69209,7277.30155,23944.58716
341,2022,WV,ALL,9.75,3217.81649,32992.55115,23944.58716
342,2022,WA,TRA,10.05,11.48732,114.29804,23944.58716
343,2022,WA,RES,10.23,4051.03983,39583.12883,23944.58716
345,2022,ID,IND,6.72,630.10208,9370.70115,23944.58716
346,2022,ID,COM,8.29,562.83739,6789.58942,23944.58716
347,2022,ID,ALL,8.53,2220.98707,26029.58771,23944.58716
349,2022,HI,RES,43.02,1182.75736,2749.0845,23944.58716
351,2022,HI,IND,36.71,1264.87662,3445.59859,23944.58716
352,2022,HI,COM,40.59,1135.89487,2798.51694,23944.58716
353,2022,HI,ALL,39.85,3583.52886,8993.20003,23944.58716
354,2022,GA,TRA,9.33,13.40024,143.69117,23944.58716
355,2022,GA,RES,14.02,8711.73899,62132.96888,23944.58716
357,2022,GA,IND,9.09,3058.36461,33655.82607,23944.58716
358,2022,GA,COM,12.68,5993.09103,47273.26343,23944.58716
359,2022,GA,ALL,12.41,17776.59486,143205.74954,23944.58716
360,2022,FL,TRA,10.19,7.65465,75.09828,23944.58716
361,2022,FL,RES,13.92,19418.17662,139477.9349,23944.58716
363,2022,FL,IND,9.36,1807.09352,19306.51864,23944.58716
364,2022,FL,COM,11.19,11261.86592,100656.54532,23944.58716
365,2022,FL,ALL,12.52,32494.7907,259516.09713,23944.58716
366,2022,DC,TRA,10.22,25.62946,250.66219,23944.58716
367,2022,DC,RES,14.2,357.6132,2519.08327,23944.58716
369,2022,DC,IND,7.6,13.80979,181.71583,23944.58716
370,2022,DC,COM,15.54,1131.37056,7279.47947,23944.58716
372,2021,PACN,IND,24.19,1125.79552,4653.641,23315.08056
373,2021,MS,RES,11.56,2145.79456,18569.936,23315.08056
375,2021,MS,IND,5.95,938.69287,15769.265,23315.08056
376,2021,MS,COM,10.81,1478.5687,13676.163,23315.08056
377,2021,MS,ALL,9.5,4563.05613,48015.36399,23315.08056
378,2021,MN,TRA,10.38,2.3601,22.728,23315.08056
379,2021,MN,RES,13.5,3138.27927,23246.05498,23315.08056
381,2021,MN,IND,8.29,1759.97143,21227.19599,23315.08056
382,2021,MN,COM,11.22,2478.39626,22093.18901,23315.08056
383,2021,MO,TRA,8.23,1.6989,20.632,23315.08056
384,2021,MO,RES,11.41,4071.54454,35668.40901,23315.08056
386,2021,MO,IND,7.11,929.93229,13086.58798,23315.08056
387,2021,MO,COM,9.17,2657.62358,28987.41202,23315.08056
388,2021,MO,ALL,9.85,7660.79931,77763.04101,23315.08056
390,2021,SD,ALL,10.43,1360.06253,13041.39102,23315.08056
392,2021,SC,RES,12.86,4037.45418,31385.79599,23315.08056
394,2021,SC,IND,6.07,1656.15357,27292.017,23315.08056
395,2021,SC,COM,10.67,2253.77919,21114.32301,23315.08056
396,2021,SC,ALL,9.96,7947.38694,79792.13601,23315.08056
397,2021,RI,TRA,19.75,3.58919,18.174,23315.08056
398,2021,PACN,COM,25.48,1361.4621,5343.18699,23315.08056
399,2021,PACN,ALL,26.19,3903.35281,14905.821,23315.08056
400,2021,PACC,TRA,11.47,85.65637,746.969,23315.08056
401,2021,PACC,RES,18.01,26755.50071,148590.722,23315.08056
403,2021,PACC,IND,10.81,9330.4293,86338.31701,23315.08056
404,2021,PACC,COM,16.23,24982.69872,153907.73001,23315.08056
405,2021,PACC,ALL,15.7,61154.2851,389583.73801,23315.08056
406,2021,MTN,TRA,9.94,15.2449,153.383,23315.08056
407,2021,MTN,RES,12.04,12996.3701,107925.26104,23315.08056
409,2021,MTN,IND,6.68,5610.64936,83947.446,23315.08056
410,2021,MTN,COM,9.71,9584.35176,98680.40997,23315.08056
411,2021,TX,ALL,9.14,39797.33266,435627.87798,23315.08056
413,2021,TN,RES,11.07,4741.60581,42840.44199,23315.08056
415,2021,TN,IND,5.51,1206.80282,21917.29799,23315.08056
416,2021,TN,COM,10.87,3789.84451,34863.39701,23315.08056
417,2021,TN,ALL,9.78,9738.25313,99621.13698,23315.08056
419,2021,SD,RES,12.22,616.51734,5043.96402,23315.08056
421,2021,SD,IND,8.02,257.17629,3205.73801,23315.08056
422,2021,SD,COM,10.15,486.3689,4791.689,23315.08056
423,2021,CO,RES,13.07,2696.11809,20625.00501,23315.08056
425,2021,CO,IND,8.01,1205.16081,15053.158,23315.08056
426,2021,CO,COM,10.84,2232.28807,20584.46999,23315.08056
427,2021,CO,ALL,10.9,6141.92897,56351.209,23315.08056
428,2021,CA,TRA,11.79,73.21537,620.799,23315.08056
429,2021,CA,RES,22.82,20604.39183,90284.143,23315.08056
431,2021,FL,ALL,10.67,25764.32633,241562.08201,23315.08056
432,2021,DC,TRA,9.76,26.54708,272.113,23315.08056
433,2021,DC,RES,13.09,330.85139,2528.049,23315.08056
435,2021,DC,IND,7.87,18.83945,239.501,23315.08056
436,2021,DC,COM,13.0,915.41461,7043.709,23315.08056
437,2021,DC,ALL,12.81,1291.65254,10083.372,23315.08056
439,2021,DE,RES,12.52,647.12556,5170.38,23315.08056
441,2021,DE,IND,7.6,160.52722,2113.012,23315.08056
442,2021,DE,COM,9.48,397.95974,4196.263,23315.08056
443,2021,DE,ALL,10.5,1205.61252,11479.65499,23315.08056
444,2021,CT,TRA,12.5,18.13645,145.116,23315.08056
445,2021,CT,RES,21.91,2868.40978,13092.128,23315.08056
447,2021,CT,IND,9.63,269.6758,2799.194,23315.08056
448,2021,CT,COM,16.46,1926.20461,11701.168,23315.08056
449,2021,CT,ALL,18.32,5082.42663,27737.606,23315.08056
450,2021,CO,TRA,9.44,8.362,88.576,23315.08056
451,2021,VT,COM,16.59,309.77151,1867.111,23315.08056
452,2021,CA,IND,14.82,7050.42273,47583.32899,23315.08056
453,2021,VT,ALL,16.34,884.48551,5412.69602,23315.08056
454,2021,UT,TRA,11.21,5.4902,48.965,23315.08056
455,2021,UT,RES,10.43,1142.20552,10950.41501,23315.08056
457,2021,UT,IND,6.19,586.30378,9471.73699,23315.08056
458,2021,UT,COM,8.13,992.41841,12206.51,23315.08056
459,2021,UT,ALL,8.34,2726.41791,32677.62701,23315.08056
460,2021,TX,TRA,6.59,11.8652,179.95,23315.08056
461,2021,TX,RES,12.11,18772.29964,155075.13599,23315.08056
463,2021,TX,IND,6.12,8115.25123,132529.561,23315.08056
464,2021,TX,COM,8.72,12897.91659,147843.23098,23315.08056
465,2021,VA,COM,7.79,4575.24152,58723.97799,23315.08056
466,2021,VA,ALL,9.14,11449.57352,125245.19598,23315.08056
468,2021,VT,RES,19.26,418.73399,2174.48902,23315.08056
470,2021,VT,IND,11.38,155.98001,1371.096,23315.08056
471,2021,CA,COM,19.18,20861.06913,108761.59401,23315.08056
472,2021,CA,ALL,19.65,48589.09906,247249.865,23315.08056
473,2021,AR,TRA,13.56,0.0278,0.205,23315.08056
474,2021,AR,RES,11.27,2131.72328,18918.015,23315.08056
476,2021,AR,IND,6.57,1196.80277,18228.01401,23315.08056
477,2021,AR,COM,9.56,1101.41151,11516.908,23315.08056
478,2021,AR,ALL,9.1,4429.96535,48663.14201,23315.08056
479,2021,AZ,TRA,9.33,0.9814,10.515,23315.08056
480,2021,AZ,RES,12.54,4655.90261,37130.339,23315.08056
482,2021,AZ,IND,6.79,956.2127,14089.07201,23315.08056
483,2021,AZ,COM,10.33,3098.75371,29990.064,23315.08056
484,2021,AZ,ALL,10.73,8711.85042,81219.99,23315.08056
486,2021,AK,RES,22.55,469.88559,2083.91101,23315.08056
488,2021,AK,IND,16.85,223.58792,1326.779,23315.08056
489,2021,AK,COM,19.61,501.6584,2558.649,23315.08056
490,2021,AK,ALL,20.02,1195.13192,5969.339,23315.08056
492,2021,AL,RES,12.96,4092.36836,31585.153,23315.08056
494,2021,AL,IND,6.33,2034.10536,32155.73,23315.08056
495,2021,AL,COM,11.84,2586.9678,21844.283,23315.08056
496,2021,AL,ALL,10.18,8713.44151,85585.166,23315.08056
497,2021,RI,RES,22.3,698.38003,3131.533,23315.08056
499,2021,RI,IND,16.06,103.36601,643.779,23315.08056
500,2021,RI,COM,15.51,558.93341,3604.518,23315.08056
501,2021,RI,ALL,18.44,1364.26863,7398.00399,23315.08056
502,2021,PA,TRA,6.84,27.85901,407.101,23315.08056
503,2021,PA,RES,13.76,7697.61302,55945.17598,23315.08056
505,2021,PA,IND,6.54,3268.11772,49999.765,23315.08056
506,2021,PA,COM,8.91,3295.18301,36988.11201,23315.08056
507,2021,PA,ALL,9.97,14288.77276,143340.15399,23315.08056
508,2021,OR,TRA,9.71,2.1931,22.596,23315.08056
509,2021,OR,RES,11.37,2307.36249,20285.346,23315.08056
511,2021,OR,IND,5.97,1034.70163,17318.50801,23315.08056
512,2021,OR,COM,9.1,1503.11707,16508.755,23315.08056
513,2021,OR,ALL,8.95,4847.37428,54135.20501,23315.08056
516,2021,LA,IND,6.21,2357.22059,37941.99,23315.08056
517,2021,LA,COM,10.23,2297.8827,22459.648,23315.08056
518,2021,LA,ALL,8.82,8007.77268,90819.34601,23315.08056
520,2021,KY,RES,11.5,3040.79206,26434.371,23315.08056
522,2021,KY,IND,5.95,1748.37251,29396.67902,23315.08056
523,2021,KY,COM,10.75,2008.5353,18685.936,23315.08056
524,2021,KY,ALL,9.12,6797.69987,74516.98602,23315.08056
526,2021,KS,RES,12.98,1787.5067,13769.41001,23315.08056
528,2021,KS,IND,7.38,838.79862,11365.92501,23315.08056
529,2021,KS,COM,10.52,1615.09806,15356.45102,23315.08056
530,2021,KS,ALL,10.47,4241.40338,40491.78604,23315.08056
532,2021,OK,RES,11.0,2612.42417,23745.86701,23315.08056
534,2021,OK,IND,5.5,1143.47085,20779.95798,23315.08056
535,2021,OK,COM,8.7,1739.51718,19999.31201,23315.08056
536,2021,OK,ALL,8.52,5495.4122,64525.137,23315.08056
537,2021,OH,TRA,7.41,2.72752,36.814,23315.08056
538,2021,OH,RES,12.77,6789.21697,53171.19298,23315.08056
540,2021,OH,IND,6.55,3246.51856,49529.406,23315.08056
541,2021,OH,COM,9.75,4385.3971,44980.45198,23315.08056
542,2021,OH,ALL,9.76,14423.86015,147717.86495,23315.08056
544,2021,ND,RES,10.85,530.31081,4888.401,23315.08056
546,2021,ND,IND,7.37,822.74009,11166.39,23315.08056
547,2021,ND,COM,9.17,624.29542,6808.31599,23315.08056
548,2021,ND,ALL,8.65,1977.34632,22863.10699,23315.08056
549,2021,NC,TRA,7.85,1.1137,14.194,23315.08056
550,2021,NC,RES,11.32,6897.04034,60914.68399,23315.08056
